ticker,thesis,strategy,expiry,human_readable_trade_legs,discovered,candidate_generated,constructions_attempted,best_construction,final_disposition,target_ticket_shown,targetable,exact_reason_if_not_targetable,hard_or_non_hard_blocker,current_reference,target_entry,price_target_miss_visible
SPY,Call Calendar,Call Calendar,2026-10-30,Call Calendar: sell SPY 2026-10-30 773C / buy SPY 2026-11-30 773C,True,True,73,Call Calendar: sell SPY 2026-10-30 773C / buy SPY 2026-11-30 773C,Avoid,False,False,no_usable_liquidity,hard,5.92 / 6.18,<= $6.18 debit,False
SPY,Reverse Jade Lizard,Reverse Jade Lizard,2026-10-30,Reverse Jade Lizard: sell SPY 2026-10-30 811C / sell SPY 2026-10-30 734P / buy SPY 2026-10-30 733P,True,True,73,Reverse Jade Lizard: sell SPY 2026-10-30 811C / sell SPY 2026-10-30 734P / buy SPY 2026-10-30 733P,Avoid,False,False,no_usable_liquidity,hard,6.35 / 6.31,>= $6.31 credit,False
NVDA,Jade Lizard,Jade Lizard,2026-10-16,Jade Lizard: sell NVDA 2026-10-16 210P / sell NVDA 2026-10-16 235C / buy NVDA 2026-10-16 245C,True,True,81,Jade Lizard: sell NVDA 2026-10-16 210P / sell NVDA 2026-10-16 235C / buy NVDA 2026-10-16 245C,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,11.28 / 11.05,>= $11.05 credit,False
NVDA,Call Broken-Wing Butterfly,Call Broken-Wing Butterfly,2026-10-16,Call Broken-Wing Butterfly: buy NVDA 2026-10-16 225C / sell 2x NVDA 2026-10-16 235C / buy NVDA 2026-10-16 255C,True,True,81,Call Broken-Wing Butterfly: buy NVDA 2026-10-16 225C / sell 2x NVDA 2026-10-16 235C / buy NVDA 2026-10-16 255C,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,1.00 / 0.65,>= $0.65 credit,False
NVDA,Put Calendar,Put Calendar,2026-10-16,Put Calendar: sell NVDA 2026-10-16 225P / buy NVDA 2026-11-20 225P,True,True,81,Put Calendar: sell NVDA 2026-10-16 225P / buy NVDA 2026-11-20 225P,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,3.77 / 4.00,<= $4.00 debit,False
NVDA,Call Ratio Backspread,Call Ratio Backspread,2026-10-16,Call Ratio Backspread: sell NVDA 2026-10-16 225C / buy 2x NVDA 2026-10-16 245C,True,True,81,Call Ratio Backspread: sell NVDA 2026-10-16 225C / buy 2x NVDA 2026-10-16 245C,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,0.70 / 0.50,>= $0.50 credit,False
NVDA,Wheel Entry CSP,Wheel,2026-10-16,Wheel: sell NVDA 2026-10-16 210P,True,True,81,Wheel: sell NVDA 2026-10-16 210P,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,8.23 / 8.15,>= $8.15 credit,False
NVDA,Covered Strangle,Covered Strangle,2026-10-16,Covered Strangle: hold 100 shares / sell NVDA 2026-10-16 210P / sell NVDA 2026-10-16 235C,True,True,81,Covered Strangle: hold 100 shares / sell NVDA 2026-10-16 210P / sell NVDA 2026-10-16 235C,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,17.80 / 17.65,>= $17.65 credit,False
NVDA,Put Ratio Spread,Put Ratio Spread,2026-10-16,Put Ratio Spread: buy NVDA 2026-10-16 225P / sell 2x NVDA 2026-10-16 210P,True,True,81,Put Ratio Spread: buy NVDA 2026-10-16 225P / sell 2x NVDA 2026-10-16 210P,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,1.58 / 1.30,>= $1.30 credit,False
NVDA,Put Ratio Backspread,Put Ratio Backspread,2026-10-16,Put Ratio Backspread: sell NVDA 2026-10-16 225P / buy 2x NVDA 2026-10-16 200P,True,True,81,Put Ratio Backspread: sell NVDA 2026-10-16 225P / buy 2x NVDA 2026-10-16 200P,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,4.38 / 4.15,>= $4.15 credit,False
NVDA,Reverse Jade Lizard,Reverse Jade Lizard,2026-10-16,Reverse Jade Lizard: sell NVDA 2026-10-16 235C / sell NVDA 2026-10-16 210P / buy NVDA 2026-10-16 200P,True,True,81,Reverse Jade Lizard: sell NVDA 2026-10-16 235C / sell NVDA 2026-10-16 210P / buy NVDA 2026-10-16 200P,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,12.55 / 12.35,>= $12.35 credit,False
NVDA,Call Ratio Spread,Call Ratio Spread,2026-10-16,Call Ratio Spread: buy NVDA 2026-10-16 225C / sell 2x NVDA 2026-10-16 235C,True,True,81,Call Ratio Spread: buy NVDA 2026-10-16 225C / sell 2x NVDA 2026-10-16 235C,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,5.40 / 5.20,>= $5.20 credit,False
NVDA,Protective Put,Protective Put,2026-10-16,Protective Put: hold 100 shares / buy NVDA 2026-10-16 210P,True,True,81,Protective Put: hold 100 shares / buy NVDA 2026-10-16 210P,Avoid,False,False,earnings_crosses_expiry:2026-08-26,hard,8.23 / 8.30,<= $8.30 debit,False
